OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_NUM,Shape_Length,Shape_Area,CouncilDistrict
80,48,029,121812,48029121812,1218.12,Census Tract 1218.12,G5020,S,3483305.000000000000000,0.000000000000000,+29.5902485,-098.3672306,48029121812.000000000000000,25998.312296888903802,37484281.775084279477596,10
81,48,029,130300,48029130300,1303,Census Tract 1303,G5020,S,1209475.000000000000000,0.000000000000000,+29.4073203,-098.4671910,48029130300.000000000000000,14638.986721936797039,13015124.228892423212528,2
82,48,029,130500,48029130500,1305,Census Tract 1305,G5020,S,2284380.000000000000000,0.000000000000000,+29.4192226,-098.4521675,48029130500.000000000000000,20041.493941090106091,24582066.881599411368370,2
83,48,029,130600,48029130600,1306,Census Tract 1306,G5020,S,2035045.000000000000000,0.000000000000000,+29.4303224,-098.4521996,48029130600.000000000000000,19496.344266883672390,21899063.941152747720480,2
84,48,029,130700,48029130700,1307,Census Tract 1307,G5020,S,1504557.000000000000000,0.000000000000000,+29.4395119,-098.4512971,48029130700.000000000000000,19212.577735865244904,16190440.246336814016104,2
85,48,029,131000,48029131000,1310,Census Tract 1310,G5020,S,5560603.000000000000000,0.000000000000000,+29.4174106,-098.4069528,48029131000.000000000000000,42006.334133597665641,59837340.767254590988159,2
86,48,029,121404,48029121404,1214.04,Census Tract 1214.04,G5020,S,6762079.000000000000000,390.000000000000000,+29.4788025,-098.3925101,48029121404.000000000000000,38228.717424570138974,72770921.750128969550133,2
87,48,029,121501,48029121501,1215.01,Census Tract 1215.01,G5020,S,5840438.000000000000000,21080.000000000000000,+29.5349733,-098.3513742,48029121501.000000000000000,34338.720067131820542,63076146.093775473535061,
88,48,029,121504,48029121504,1215.04,Census Tract 1215.04,G5020,S,3892084.000000000000000,1624.000000000000000,+29.5309001,-098.3614224,48029121504.000000000000000,32689.427470323087618,41900395.593254201114178,
89,48,029,121507,48029121507,1215.07,Census Tract 1215.07,G5020,S,2659634.000000000000000,10404.000000000000000,+29.5133523,-098.3577773,48029121507.000000000000000,23512.273168170268036,28732324.962294999510050,
90,48,029,121508,48029121508,1215.08,Census Tract 1215.08,G5020,S,2233145.000000000000000,0.000000000000000,+29.5064099,-098.3583017,48029121508.000000000000000,21127.819538842330076,24030923.715894680470228,
91,48,029,121601,48029121601,1216.01,Census Tract 1216.01,G5020,S,3695911.000000000000000,21012.000000000000000,+29.5465067,-098.3022240,48029121601.000000000000000,37733.277603174603428,39998044.117913067340851,
92,48,029,131504,48029131504,1315.04,Census Tract 1315.04,G5020,S,4200107.000000000000000,0.000000000000000,+29.4496080,-098.3911144,48029131504.000000000000000,28899.441250329058676,45197168.529048949480057,2
93,48,029,980004,48029980004,9800.04,Census Tract 9800.04,G5020,S,9789639.000000000000000,0.000000000000000,+29.5369304,-098.4680098,48029980004.000000000000000,49901.026903419297014,105346891.494063228368759,9
94,48,029,191813,48029191813,1918.13,Census Tract 1918.13,G5020,S,2827853.000000000000000,0.000000000000000,+29.6451452,-098.4994394,48029191813.000000000000000,26077.514485178977338,30431176.583390243351460,9
95,48,029,121813,48029121813,1218.13,Census Tract 1218.13,G5020,S,1900238.000000000000000,0.000000000000000,+29.5993927,-098.3733467,48029121813.000000000000000,22283.524806249326502,20448729.892973024398088,10
96,48,029,152202,48029152202,1522.02,Census Tract 1522.02,G5020,S,74847037.000000000000000,347510.000000000000000,+29.1869042,-098.3927894,48029152202.000000000000000,156986.506873764650663,809168819.471374273300171,
97,48,029,161503,48029161503,1615.03,Census Tract 1615.03,G5020,S,2331257.000000000000000,0.000000000000000,+29.3558345,-098.6267718,48029161503.000000000000000,28313.381092048712162,25086521.087425924837589,4
98,48,029,181817,48029181817,1818.17,Census Tract 1818.17,G5020,S,2088696.000000000000000,0.000000000000000,+29.5111345,-098.6179846,48029181817.000000000000000,22282.838768374585925,22476498.594346549361944,
99,48,029,191817,48029191817,1918.17,Census Tract 1918.17,G5020,S,12898324.000000000000000,1385.000000000000000,+29.6261255,-098.4726271,48029191817.000000000000000,49594.863781363106682,138816361.336205840110779,9
100,48,029,170600,48029170600,1706,Census Tract 1706,G5020,S,1942373.000000000000000,0.000000000000000,+29.4519549,-098.5500507,48029170600.000000000000000,19563.979747894467437,20901803.381261602044106,7
101,48,029,170700,48029170700,1707,Census Tract 1707,G5020,S,1861298.000000000000000,0.000000000000000,+29.4432734,-098.5507620,48029170700.000000000000000,19160.212989165342151,20029315.960401583462954,5
102,48,029,170800,48029170800,1708,Census Tract 1708,G5020,S,969853.000000000000000,56124.000000000000000,+29.4351384,-098.5479565,48029170800.000000000000000,13387.013776339528704,11040497.738062508404255,5
103,48,029,170900,48029170900,1709,Census Tract 1709,G5020,S,1844410.000000000000000,13947.000000000000000,+29.4228064,-098.5483304,48029170900.000000000000000,19168.351548990958690,19997677.479879111051559,5
104,48,029,171000,48029171000,1710,Census Tract 1710,G5020,S,1539933.000000000000000,0.000000000000000,+29.4231640,-098.5596064,48029171000.000000000000000,17622.512955341899215,16571169.827457685023546,5
105,48,029,171200,48029171200,1712,Census Tract 1712,G5020,S,2342246.000000000000000,0.000000000000000,+29.4364014,-098.5656426,48029171200.000000000000000,23356.052848294708383,25204861.012768868356943,5
106,48,029,161000,48029161000,1610,Census Tract 1610,G5020,S,7390356.000000000000000,40596.000000000000000,+29.3425496,-098.5700238,48029161000.000000000000000,41250.192497643220122,79963925.461230382323265,4
107,48,029,161100,48029161100,1611,Census Tract 1611,G5020,S,10119455.000000000000000,16207.000000000000000,+29.3269538,-098.5762883,48029161100.000000000000000,58890.844559283083072,109069051.362955808639526,4
108,48,029,190603,48029190603,1906.03,Census Tract 1906.03,G5020,S,1286096.000000000000000,0.000000000000000,+29.4734310,-098.5035898,48029190603.000000000000000,15658.495628481876338,13839699.825740488246083,1
109,48,029,191405,48029191405,1914.05,Census Tract 1914.05,G5020,S,8774099.000000000000000,6057.000000000000000,+29.5758462,-098.5386156,48029191405.000000000000000,60670.717794348813186,94484231.174288421869278,8
110,48,029,131613,48029131613,1316.13,Census Tract 1316.13,G5020,S,5022917.000000000000000,100228.000000000000000,+29.4821676,-098.3281283,48029131613.000000000000000,36814.497628176337457,55130107.101787060499191,
111,48,029,190604,48029190604,1906.04,Census Tract 1906.04,G5020,S,1628394.000000000000000,0.000000000000000,+29.4746213,-098.5135764,48029190604.000000000000000,19304.138816247683280,17523151.984012652188540,1
112,48,029,181729,48029181729,1817.29,Census Tract 1817.29,G5020,S,8696568.000000000000000,46627.000000000000000,+29.5261089,-098.7445249,48029181729.000000000000000,38519.447404552214721,94085779.650658428668976,
113,48,029,161302,48029161302,1613.02,Census Tract 1613.02,G5020,S,3411583.000000000000000,24064.000000000000000,+29.3335210,-098.6121389,48029161302.000000000000000,25343.993225695212459,36970748.503454491496086,4
114,48,029,980100,48029980100,9801,Census Tract 9801,G5020,S,14677615.000000000000000,42980.000000000000000,+29.3897891,-098.5823980,48029980100.000000000000000,74279.069577007452608,158407278.086465686559677,4
115,48,029,161501,48029161501,1615.01,Census Tract 1615.01,G5020,S,4045389.000000000000000,0.000000000000000,+29.3647821,-098.6074055,48029161501.000000000000000,28951.690198252261325,43532130.348579660058022,4
116,48,029,171700,48029171700,1717,Census Tract 1717,G5020,S,10635977.000000000000000,31619.000000000000000,+29.4356221,-098.6260048,48029171700.000000000000000,52396.956415767999715,114793535.435016259551048,6
117,48,029,171802,48029171802,1718.02,Census Tract 1718.02,G5020,S,2524781.000000000000000,5830.000000000000000,+29.4055402,-098.6352927,48029171802.000000000000000,26801.727182936912868,27231796.639905113726854,4
118,48,029,171902,48029171902,1719.02,Census Tract 1719.02,G5020,S,7500284.000000000000000,58228.000000000000000,+29.4339635,-098.6550557,48029171902.000000000000000,41882.834235177317169,81336820.390428423881531,6
119,48,029,171903,48029171903,1719.03,Census Tract 1719.03,G5020,S,3124592.000000000000000,1510.000000000000000,+29.4069074,-098.6551074,48029171903.000000000000000,24555.962027783083613,33639791.358578324317932,4
120,48,029,131609,48029131609,1316.09,Census Tract 1316.09,G5020,S,4774760.000000000000000,100412.000000000000000,+29.5023103,-098.3265433,48029131609.000000000000000,33357.753182932552591,52461778.156067676842213,
121,48,029,191815,48029191815,1918.15,Census Tract 1918.15,G5020,S,2549292.000000000000000,0.000000000000000,+29.6295576,-098.5085688,48029191815.000000000000000,23207.710881197650451,27433445.277842231094837,9
122,48,029,161504,48029161504,1615.04,Census Tract 1615.04,G5020,S,2292120.000000000000000,23704.000000000000000,+29.3552605,-098.6170903,48029161504.000000000000000,28124.405029257140995,24920356.366201486438513,4
123,48,029,171602,48029171602,1716.02,Census Tract 1716.02,G5020,S,8127747.000000000000000,31507.000000000000000,+29.4229398,-098.6080692,48029171602.000000000000000,46825.583888714820205,87801321.978262573480606,6
124,48,029,171919,48029171919,1719.19,Census Tract 1719.19,G5020,S,2071055.000000000000000,1377.000000000000000,+29.3915743,-098.6850980,48029171919.000000000000000,23891.005865064937097,22301336.136797562241554,
125,48,029,171601,48029171601,1716.01,Census Tract 1716.01,G5020,S,3062640.000000000000000,55281.000000000000000,+29.4183531,-098.6198536,48029171601.000000000000000,36109.734186850044352,33551792.401138648390770,6
126,48,029,171922,48029171922,1719.22,Census Tract 1719.22,G5020,S,2871367.000000000000000,13723.000000000000000,+29.4138298,-098.6909242,48029171922.000000000000000,22231.519027780726901,31046321.973606370389462,
127,48,029,131700,48029131700,1317,Census Tract 1317,G5020,S,11739862.000000000000000,109695.000000000000000,+29.5295330,-098.2784252,48029131700.000000000000000,65124.501538634300232,127513670.195895463228226,
128,48,029,140100,48029140100,1401,Census Tract 1401,G5020,S,986967.000000000000000,0.000000000000000,+29.4064086,-098.4787846,48029140100.000000000000000,15873.529761296305878,10620685.527387483045459,2
129,48,029,140200,48029140200,1402,Census Tract 1402,G5020,S,1916564.000000000000000,0.000000000000000,+29.3962021,-098.4810684,48029140200.000000000000000,18840.676461900489812,20624015.006858315318823,5
130,48,029,140300,48029140300,1403,Census Tract 1403,G5020,S,1558736.000000000000000,10051.000000000000000,+29.3868816,-098.4835460,48029140300.000000000000000,20777.408539893862326,16881569.452044904232025,3
