GEOID20,NAMELSAD20,SSA
48029190700,Census Tract,12
48029190800,Census Tract,13
48029190901,Census Tract,12
48029190902,Census Tract,12
48029191003,Census Tract,11
48029191004,Census Tract,11
48029191005,Census Tract,11
48029191006,Census Tract,11
48029191101,Census Tract,28
48029191102,Census Tract,28
48029191201,Census Tract,12
48029191202,Census Tract,12
48029191303,Census Tract,48
48029191304,Census Tract,12
48029191405,Census Tract,62
48029191406,Census Tract,63
48029191408,Census Tract,47
48029191409,Census Tract,47
48029191410,Census Tract,47
48029191411,Census Tract,47
48029191412,Census Tract,63
48029191413,Census Tract,62
48029191503,Census Tract,46
48029191504,Census Tract,46
48029191505,Census Tract,46
48029191506,Census Tract,27
48029191701,Census Tract,64
48029191702,Census Tract,64
48029191804,Census Tract,87
48029191806,Census Tract,63
48029191807,Census Tract,62
48029191808,Census Tract,88
48029191809,Census Tract,86
48029191810,Census Tract,88
48029191811,Census Tract,86
48029191812,Census Tract,86
48029191813,Census Tract,65
48029191814,Census Tract,87
48029191815,Census Tract,65
48029191816,Census Tract,64
48029191818,Census Tract,65
48029191819,Census Tract,65
48029191900,Census Tract,5
48029192000,Census Tract,4
48029192100,Census Tract,6
48029192200,Census Tract,35
48029192300,Census Tract,48
48029980001,Census Tract,102
48029980002,Census Tract,101
48029980003,Census Tract,38
48029980004,Census Tract,100
48029980005,Census Tract,92
48029980100,Census Tract,38
